Directgov searches,Business Link searches,Total monthly searches,When I search for...,Then I...,see...,in the top ... results
,,0,passport application form,should,https://www.gov.uk/apply-renew-passport,3
,,0,passport costs,should,https://www.gov.uk/passport-fees,3
,,0,passport fee,should,https://www.gov.uk/passport-fees,3
,,0,passport fees,should,https://www.gov.uk/passport-fees,3
,,0,passport form,should,https://www.gov.uk/apply-renew-passport,3
,,0,passport forms,should,https://www.gov.uk/apply-renew-passport,3
,,0,passport prices,should,https://www.gov.uk/passport-fees,3
,,0,pay council tax,should,https://www.gov.uk/pay-council-tax,3
,,0,paye,should,https://www.gov.uk/income-tax,5
,,0,paye,should,https://www.gov.uk/paye-forms-p45-p46-p60-p11d,5
,,0,pension credit calculator,should,https://www.gov.uk/pension-credit-calculator,3
,,0,pension credits,should,https://www.gov.uk/pension-credit,3
,,0,pension credits,should,https://www.gov.uk/pension-credit-calculator,3
,,0,pension forecast,should,https://www.gov.uk/get-a-state-pension-forecast,3
,,0,pension forecast,should,https://www.gov.uk/plan-retirement-income,5
,,0,pension rates,should,https://www.gov.uk/state-pension,3
,,0,personal allowance,should,https://www.gov.uk/income-tax-rates,3
,,0,planning,should,https://www.gov.uk/planning-permission-england-wales,5
,,0,planning,should,https://www.gov.uk/search-register-planning-decisions,5
,,0,police,should,https://www.gov.uk/contact-police,3
